"ID_ARTICLE";"NOM_ARTICLE";"PRIX_ACHAT";"VOLUME";"TITRAGE";"NOM_COULEUR";"NOM_TYPE";"NOM_MARQUE";"NOM_FABRICANT";"NOM_PAYS";"NOM_CONTINENT"
"1";"das Echte Märzen";"2,14";"33";"5,7";"Blonde";"Bière de Saison";"das Echte Märzen";"AB InBev";"ALLEMAGNE";"Europe"
"2";"das Helle";"2,17";"33";"5";"NULL";"NULL";"das Helle";"AB InBev";"ALLEMAGNE";"Europe"
"3";"das Schwarze";"1,9";"33";"4,9";"Brune";"NULL";"das Schwarze";"AB InBev";"ALLEMAGNE";"Europe"
"4";"Dinkel Acker Märzen";"2,59";"33";"5,6";"Blonde";"Bière de Saison";"Dinkel Accker";"AB InBev";"ALLEMAGNE";"Europe"
"5";"Dinkel Acker Privat";"2,61";"33";"5,1";"Blonde";"NULL";"Dinkel Accker";"AB InBev";"ALLEMAGNE";"Europe"
"6";"Franziskaner Hefe-Weissbier Dunkel";"2,32";"33";"5";"Brune";"NULL";"Franziskaner ";"AB InBev";"ALLEMAGNE";"Europe"
"7";"Franziskaner Hefe-Weissbier Hell";"1,71";"33";"5";"Blanche";"NULL";"Franziskaner ";"AB InBev";"ALLEMAGNE";"Europe"
"8";"Franziskaner Weissbier Kristallklar";"2,92";"33";"5";"Blanche";"NULL";"Franziskaner ";"AB InBev";"ALLEMAGNE";"Europe"
"9";"Fruit Défendu (le)";"2,96";"33";"8,5";"Brune";"NULL";"Fruit Défendu (le)";"AB InBev";"BELGIQUE";"Europe"
"10";"Goose Island India Pale Ale";"1,29";"33";"5,9";"Blonde";"Ale";"Goose Island";"AB InBev";"ÉTATS-UNIS";"Amérique"
"11";"Grand Prestige";"1,06";"33";"10";"Brune";"NULL";"Hertog Jan";"AB InBev";"PAYS-BAS";"Europe"
"12";"Hertog Jan Karakter";"2,33";"33";"7,5";"Ambrée";"NULL";"Hertog Jan";"AB InBev";"PAYS-BAS";"Europe"
"13";"Hertog Jan Natuurzuiver";"2,78";"33";"5,1";"Blonde";"Pils et Lager";"Hertog Jan";"AB InBev";"PAYS-BAS";"Europe"
"14";"Hertog Jan Primator";"1,45";"33";"6";"Blonde";"Pils et Lager";"Hertog Jan";"AB InBev";"PAYS-BAS";"Europe"
"15";"Hertog Jan Weizener";"1,48";"33";"5,7";"Blanche";"NULL";"Hertog Jan";"AB InBev";"PAYS-BAS";"Europe"
"16";"Hoegaarden";"2,88";"33";"4,9";"Blanche";"NULL";"Hoegaarden";"AB InBev";"BELGIQUE";"Europe"
"17";"Hoegaarden Citron";"1,61";"33";"3";"Blanche";"Bière Aromatisée";"Hoegaarden";"AB InBev";"BELGIQUE";"Europe"
"18";"Hoegaarden Grand Cru";"1,76";"33";"8,5";"Blonde";"NULL";"Hoegaarden";"AB InBev";"BELGIQUE";"Europe"
"19";"Hoegaarden Rosée";"1,11";"33";"3";"Blanche";"Bière Aromatisée";"Hoegaarden";"AB InBev";"BELGIQUE";"Europe"
"20";"Hoegaarden Spéciale";"2,06";"33";"5,7";"Blanche";"NULL";"Hoegaarden";"AB InBev";"BELGIQUE";"Europe"
"21";"Hoegarden Rosée";"2,96";"33";"3";"Blanche";"Bière Aromatisée";"Hoegaarden";"AB InBev";"BELGIQUE";"Europe"
"22";"Antartica";"2,64";"33";"4,9";"Blonde";"NULL";"InBev";"AB InBev";"BRÉSIL";"Amérique"
"23";"Bécasse Originale Framboise";"1,87";"33";"5,7";"NULL";"Bière Aromatisée";"InBev";"AB InBev";"BRÉSIL";"Amérique"
"24";"Bécasse Originale Gueuze";"2,33";"33";"5,6";"Blonde";"Lambic";"InBev";"AB InBev";"BRÉSIL";"Amérique"
"25";"Bécasse Originale Kriek";"2,32";"33";"5,1";"NULL";"Bière Aromatisée";"InBev";"AB InBev";"BRÉSIL";"Amérique"
"26";"Becks";"2,32";"33";"4,9";"Blonde";"Pils et Lager";"InBev";"AB InBev";"BRÉSIL";"Amérique"
"27";"Becks Gold";"1,72";"33";"4,9";"Blonde";"Pils et Lager";"InBev";"AB InBev";"BRÉSIL";"Amérique"
"28";"Bodingtons Draught Bitter";"1,62";"33";"3,8";"NULL";"Ale";"InBev";"AB InBev";"BRÉSIL";"Amérique"
"29";"Bohemia Pilsen";"1,44";"33";"5";"Blonde";"NULL";"InBev";"AB InBev";"BRÉSIL";"Amérique"
"30";"Brahma Chopp";"2,06";"33";"4,8";"Blonde";"NULL";"InBev";"AB InBev";"BRÉSIL";"Amérique"
"31";"Carling";"2,79";"33";"4,1";"Blonde";"Pils et Lager";"InBev";"AB InBev";"BRÉSIL";"Amérique"
"32";"Julius";"2,76";"33";"8,5";"Blonde";"NULL";"Julius";"AB InBev";"BELGIQUE";"Europe"
"33";"Leffe 9";"1,56";"33";"9";"Brune";"NULL";"Leffe";"AB InBev";"BELGIQUE";"Europe"
"34";"Leffe Blonde";"2,95";"33";"6,6";"Blonde";"Abbaye";"Leffe";"AB InBev";"BELGIQUE";"Europe"
"35";"Leffe Brune";"2,14";"33";"6,5";"Brune";"Abbaye";"Leffe";"AB InBev";"BELGIQUE";"Europe"
"36";"Leffe Kerstbier";"2,7";"33";"6,6";"Brune";"Bière de Saison";"Leffe";"AB InBev";"BELGIQUE";"Europe"
"37";"Leffe Radieuse";"2,22";"33";"8,2";"Ambrée";"Abbaye";"Leffe";"AB InBev";"BELGIQUE";"Europe"
"38";"Leffe Royale";"1,78";"33";"7,5";"Blonde";"Abbaye";"Leffe";"AB InBev";"BELGIQUE";"Europe"
"39";"Leffe Ruby";"1,21";"33";"5";"NULL";"Bière Aromatisée";"Leffe";"AB InBev";"BELGIQUE";"Europe"
"40";"Leffe Triple";"1,56";"33";"8,5";"Blonde";"Abbaye";"Leffe";"AB InBev";"BELGIQUE";"Europe"
"41";"Leffe Vieille Cuvée";"2,26";"33";"8,2";"Brune";"Abbaye";"Leffe";"AB InBev";"BELGIQUE";"Europe"
"42";"Loburg";"2,85";"33";"5,7";"Blonde";"Pils et Lager";"Loburg";"AB InBev";"BELGIQUE";"Europe"
"43";"Meister Pils";"2,38";"33";"4,9";"Blonde";"Pils et Lager";"Meister";"AB InBev";"ALLEMAGNE";"Europe"
"44";"PiedBoeuf Blonde";"2,84";"33";"1,2";"Blonde";"NULL";"PiedBoeuf";"AB InBev";"BELGIQUE";"Europe"
"45";"PiedBoeuf Foncé";"1,9";"33";"1,2";"Brune";"NULL";"PiedBoeuf";"AB InBev";"BELGIQUE";"Europe"
"46";"PiedBoeuf Triple";"2,34";"33";"3,8";"Blonde";"NULL";"PiedBoeuf";"AB InBev";"BELGIQUE";"Europe"
"47";"Quilmes";"1,71";"33";"4,9";"NULL";"Ale";"Quilmes";"AB InBev";"ARGENTINE";"Amérique"
"48";"Schwaben Bräu Weihnachtsbier";"1,02";"33";"5,5";"Ambrée";"Bière de Saison";"Schwaben Bräu";"AB InBev";"ALLEMAGNE";"Europe"
"49";"Skol Pils";"2,88";"33";"4,7";"NULL";"Ale";"Skol Pils";"AB InBev";"BRÉSIL";"Amérique"
